#{"t_start": 1684228389.0110462, "env_id": "ur5e-v0"}
r,l,t
-15.401498,14,887.725515
-14.376624,10,891.934283
-10.158082,2,892.352178
-7.943117,1,892.628092
-5.002104,1,892.849411
-4.887208,1,893.069166
-8.004645,1,893.293146
-7.945485,1,893.520934
-7.921219,1,893.743891
-8.046102,1,893.986455
-10.03082,2,894.367472
-5.055067,1,894.597833
-8.007283,1,894.821809
-7.949054,1,895.043187
-4.969629,1,895.288339
-4.960627,1,895.502002
-9.882239,2,895.900995
-4.980117,1,896.125922
-3.372387,1,896.338913
-10.566038,13,900.685864
-8.687116,11,905.102312
-10.964114,12,909.713923
-11.665423,3,910.29686
-8.031971,1,910.519336
-3.155543,1,910.73739
-14.393834,13,915.891866
-13.535613,13,922.943068
-8.750645,12,925.96566
-10.218765,2,926.306291
-8.11545,1,926.569039
-8.029758,1,926.781746
-7.962435,1,926.982656
-8.032968,1,927.196839
-8.080038,1,927.403619
-8.239486,1,927.616591
-5.203224,1,927.829119
-4.804229,1,928.046517
-9.927421,2,928.422061
-7.322338,2,928.794376
-10.649107,1,929.002831
-8.216057,1,929.21398
-5.033688,1,929.427732
-10.540211,1,929.641045
-7.562537,1,929.856571
-7.644192,1,930.123319
-5.414725,1,930.335808
-7.851356,1,930.554611
-4.98795,1,930.761277
-10.737837,10,934.307213
-19.879647,13,938.796831
-10.963057,1,939.016887
-4.935777,1,939.288095
-7.665644,1,939.494702
-4.901333,1,939.706403
-8.080895,1,939.918591
-8.078051,1,940.123013
-7.86084,1,940.342106
-7.987877,1,940.566209
-4.995794,1,940.780292
-7.809841,1,940.989059
-5.36815,1,941.205587
-6.845595,2,941.635717
-7.939946,1,941.852999
-7.964686,1,942.058942
-7.934796,1,942.271635
-8.113168,1,942.484519
-7.022546,2,942.861419
-8.009658,1,943.076077
-8.179787,1,943.302463
-11.141008,1,943.552119
-5.011604,1,943.772755
-9.613526,2,944.143079
-8.39602,1,944.348863
-7.890848,1,944.556625
-8.661018,3,945.058067
-11.385491,1,945.271364
-4.912404,1,945.470443
-9.684311,1,945.862466
-8.869352,1,946.055305
-7.986849,1,946.261396
-10.259175,2,946.618671
-3.901015,2,946.989202
-12.724421,11,950.755716
-15.968306,12,955.78308
-7.772587,1,956.000947
-5.031209,1,956.263074
-4.944361,1,956.475834
-7.907945,1,956.731525
-8.15992,1,956.970221
-5.130977,1,957.180914
-8.172389,1,957.398113
-8.205834,1,957.610958
-5.068158,1,957.813595
-8.028392,1,958.027734
-7.957423,1,958.287653
-5.009995,1,958.500859
-11.005772,1,958.722529
-8.0107,1,958.924038
-5.001881,1,959.138268
-8.140307,1,959.350716
-8.017296,1,959.56484
-11.129399,1,959.777316
-8.01599,1,959.993781
-7.945104,1,960.254001
-9.940093,2,960.625533
-7.994226,1,960.842413
-5.082014,1,961.053293
-9.921942,2,961.420955
-8.077493,1,961.634174
-5.121319,1,961.84645
-9.98094,2,962.224329
-8.00559,1,962.490986
-10.124052,2,962.916317
-6.972995,2,963.298555
-8.160508,1,963.5097
-12.008189,3,964.028503
-7.975245,1,964.243527
-4.835056,1,964.450901
-11.011517,1,964.661591
-8.119884,1,964.87426
-5.03741,1,965.087577
-7.966065,1,965.29964
-6.556038,2,965.679109
-13.049093,2,966.094525
-8.089333,1,966.355685
-8.171332,1,966.56169
-11.058729,1,966.774566
-11.003569,1,966.980166
-5.420104,1,967.195831
-4.689398,1,967.404398
-9.035477,3,967.940988
-4.791147,1,968.151819
-8.281,1,968.360001
-5.183861,1,968.575984
-7.960472,1,968.843356
-18.487094,13,973.692225
-18.539925,13,978.891152
-13.762827,11,983.399242
-4.942221,1,983.679922
-4.941986,1,984.004751
-7.976158,1,984.196023
-4.970124,1,984.418791
-7.9948,1,984.639958
-7.952306,1,984.859841
-7.996407,1,985.068125
-8.383551,1,985.296091
-8.040307,1,985.519224
-8.090787,1,985.773815
-8.204813,1,986.023494
-4.944651,1,986.286364
-17.759178,12,990.000373
-7.744619,1,990.362946
-14.693562,12,994.983658
-6.798584,2,995.486222
-12.775753,11,999.832954
-10.021199,2,1000.209586
